deg,sH,sh,arr,p,lam,noPrec condS,power noPrec condS,noPrec Iter,lumped condS,power lumped condS,lumped Iter,dir condS,power dir condS,dir Iter,err,a
1,2,2,168,12,36,1.20e+01,1.20e+01,22,3.78e+00,3.99e+00,13,1.62e+00,1.62e+00,7,2.62e+00,432
1,4,2,1392,128,432,1.39e+01,1.90e+01,25,4.78e+00,4.99e+00,15,1.90e+00,1.94e+00,8,1.33e+00,3456
1,8,2,11424,1056,4032,1.29e+01,2.14e+01,24,4.76e+00,5.19e+00,14,1.97e+00,1.99e+00,8,6.69e-01,27648
1,16,2,92736,8384,34560,1.26e+01,2.20e+01,23,4.65e+00,5.25e+00,14,1.99e+00,2.00e+00,8,3.35e-01,221184
